+ 0.2 0 1 tcp 40 ------- 4 0.0 1.0 0 0
- 0.2 0 1 tcp 40 ------- 4 0.0 1.0 0 0
r 0.20532 0 1 tcp 40 ------- 4 0.0 1.0 0 0
+ 0.20532 1 0 ack 40 ------- 4 1.0 0.0 0 1
- 0.20532 1 0 ack 40 ------- 4 1.0 0.0 0 1
r 0.21064 1 0 ack 40 ------- 4 1.0 0.0 0 1
+ 0.21064 0 1 tcp 1040 ------- 4 0.0 1.0 1 2
- 0.21064 0 1 tcp 1040 ------- 4 0.0 1.0 1 2
+ 0.21064 0 1 tcp 1040 ------- 4 0.0 1.0 2 3
- 0.21896 0 1 tcp 1040 ------- 4 0.0 1.0 2 3
r 0.22396 0 1 tcp 1040 ------- 4 0.0 1.0 1 2
+ 0.22396 1 0 ack 40 ------- 4 1.0 0.0 1 4
- 0.22396 1 0 ack 40 ------- 4 1.0 0.0 1 4
r 0.22928 1 0 ack 40 ------- 4 1.0 0.0 1 4
+ 0.22928 0 1 tcp 1040 ------- 4 0.0 1.0 3 5
- 0.22928 0 1 tcp 1040 ------- 4 0.0 1.0 3 5
+ 0.22928 0 1 tcp 1040 ------- 4 0.0 1.0 4 6
r 0.23228 0 1 tcp 1040 ------- 4 0.0 1.0 2 3
+ 0.23228 1 0 ack 40 ------- 4 1.0 0.0 2 7
- 0.23228 1 0 ack 40 ------- 4 1.0 0.0 2 7
- 0.2376 0 1 tcp 1040 ------- 4 0.0 1.0 4 6
r 0.2376 1 0 ack 40 ------- 4 1.0 0.0 2 7
+ 0.2376 0 1 tcp 1040 ------- 4 0.0 1.0 5 8
+ 0.2376 0 1 tcp 1040 ------- 4 0.0 1.0 6 9
r 0.2426 0 1 tcp 1040 ------- 4 0.0 1.0 3 5
+ 0.2426 1 0 ack 40 ------- 4 1.0 0.0 3 10
- 0.2426 1 0 ack 40 ------- 4 1.0 0.0 3 10
- 0.24592 0 1 tcp 1040 ------- 4 0.0 1.0 5 8
r 0.24792 1 0 ack 40 ------- 4 1.0 0.0 3 10
+ 0.24792 0 1 tcp 1040 ------- 4 0.0 1.0 7 11
+ 0.24792 0 1 tcp 1040 ------- 4 0.0 1.0 8 12
r 0.25092 0 1 tcp 1040 ------- 4 0.0 1.0 4 6
+ 0.25092 1 0 ack 40 ------- 4 1.0 0.0 4 13
- 0.25092 1 0 ack 40 ------- 4 1.0 0.0 4 13
- 0.25424 0 1 tcp 1040 ------- 4 0.0 1.0 6 9
r 0.25624 1 0 ack 40 ------- 4 1.0 0.0 4 13
+ 0.25624 0 1 tcp 1040 ------- 4 0.0 1.0 9 14
+ 0.25624 0 1 tcp 1040 ------- 4 0.0 1.0 10 15
r 0.25924 0 1 tcp 1040 ------- 4 0.0 1.0 5 8
+ 0.25924 1 0 ack 40 ------- 4 1.0 0.0 5 16
- 0.25924 1 0 ack 40 ------- 4 1.0 0.0 5 16
